"id","sex","bloodtype","star","hobby","color","season","fruit","music","movie","food","travel","seat","desktop","creative","personality"
"40211222","91","2","15","23","30","37","48","50","58","72","74","78","81","85","87"
"40211126","91","4","8","18","30","36","44","50","60","72","76","78","82","85","90"
"40211233","91","3","15","18","24","34","38","50","58","66","73","78","81","85","87"
"40211216","92","3","12","19","31","34","38","53","60","70","74","78","81","86","87"
"40211244","91","1","13","20","27","37","48","54","58","66","73","78","81","85","87"
"40211130","91","2","14","22","24","34","38","50","58","66","73","78","81","85","87"
"40211211","91","3","9","23","28","34","39","53","58","68","75","78","82","85","89"
"40211237","91","3","5","22","26","37","39","57","58","70","73","78","81","85","87"
"40211133","92","2","11","19","30","36","43","53","62","70","74","78","83","85","87"
"40211164","91","3","5","19","30","36","47","50","59","69","74","78","81","85","87"
"40211104","92","3","8","19","31","37","46","53","58","71","74","78","83","85","87"
"40211105","91","3","8","19","28","36","39","57","58","71","74","80","81","85","88"
"40211146","91","4","11","20","30","36","48","50","63","72","76","78","81","85","89"
"40211108","91","3","6","17","32","36","38","53","59","72","74","78","81","85","87"
"40211107","91","3","6","18","29","35","48","57","58","69","73","78","82","85","88"
"40211256","92","3","15","21","30","37","38","53","62","72","74","78","81","85","90"
"40211252","91","3","7","19","30","36","47","57","62","69","73","78","81","86","87"
"40211162","91","3","7","19","26","37","47","53","58","67","73","78","81","86","87"
"40111256","91","2","9","18","28","34","48","50","58","69","74","78","81","86","88"
"40211113","91","3","8","18","29","34","49","53","58","68","73","78","81","86","87"
"40211109","91","1","13","18","32","34","48","53","58","69","73","78","82","86","87"
"40211141","91","3","5","17","30","37","48","50","62","70","74","78","83","85","88"
"40211137","91","3","13","18","29","36","48","51","58","69","76","78","83","86","87"
"40211125","91","1","5","18","29","34","39","57","58","67","73","78","81","86","87"
"40211154","91","4","9","23","30","36","48","53","60","69","76","78","82","85","87"
"40211111","91","3","8","18","24","34","38","50","58","66","73","78","81","85","87"
"40211138","91","2","6","19","30","34","48","56","58","66","76","78","81","86","87"
"40211220","91","1","5","17","24","34","38","50","58","66","76","78","81","85","87"
"40211134","91","2","14","17","30","37","38","57","59","69","77","78","82","85","87"
"40211129","92","1","10","21","30","37","47","50","60","69","74","78","81","86","90"
"40211248","91","2","12","17","32","34","43","50","58","68","74","78","81","85","90"
"40211229","91","3","7","18","29","37","48","51","58","67","74","78","82","85","87"
"40205303","91","3","16","23","30","34","38","50","58","66","73","78","81","85","87"
"40211245","92","3","11","19","30","36","41","50","58","67","74","78","81","85","87"
"40211260","91","3","8","23","30","37","48","53","58","66","73","78","82","85","87"
"40211238","92","1","9","21","28","37","41","50","64","67","74","78","84","86","88"
"40211209","91","1","13","17","24","34","38","50","58","66","73","78","81","85","87"
"40211263","91","3","10","18","28","35","39","50","58","67","76","78","81","85","88"
"40211132","91","2","5","17","24","34","38","50","58","66","73","78","81","85","87"
"40211116","91","1","6","17","30","34","44","50","58","66","74","78","84","85","87"
"40211219","91","1","6","19","26","37","41","57","58","67","74","78","82","85","88"
"40211247","92","3","14","22","30","37","41","53","60","66","77","78","81","85","87"
"40211112","91","3","6","18","24","34","38","50","58","67","73","78","81","85","87"
"40211250","91","1","11","19","30","37","40","53","59","67","74","78","81","85","87"
"40511258","91","1","14","19","29","34","48","53","58","68","75","78","81","85","87"
"40511223","92","1","11","18","30","37","48","50","58","66","73","78","81","85","87"
"40511234","91","3","9","17","30","34","38","50","64","66","74","78","81","85","87"
"40511265","91","3","6","23","30","34","39","53","59","66","73","78","81","85","87"
"40511259","91","3","8","23","29","36","39","56","59","69","74","78","82","86","87"
"40511204","91","3","9","18","29","36","49","53","58","69","74","78","81","85","87"
"40511202","92","2","5","18","30","37","48","53","64","72","75","78","83","86","87"
"40511233","92","4","5","18","30","36","47","50","65","67","74","78","81","85","88"
"40511217","91","1","6","19","30","34","45","54","59","69","74","78","81","85","87"
"40511237","91","2","15","18","33","37","38","53","59","68","73","78","83","86","87"
"40511255","91","3","12","18","28","36","39","53","58","67","77","78","81","85","87"
"40511252","91","2","9","19","29","37","49","52","58","68","76","78","82","85","87"
"40511229","92","1","14","22","30","36","46","53","58","67","73","78","81","85","87"
"40511247","92","1","10","17","32","37","48","53","59","67","73","78","83","85","90"
"40511211","91","1","6","18","24","37","38","53","58","67","73","78","82","85","87"
"40511243","91","3","12","23","30","36","41","50","58","66","74","80","81","85","89"
"40511264","91","3","6","19","29","36","48","57","59","69","77","80","84","85","87"
"40511207","92","3","5","17","33","36","47","50","62","69","73","79","81","85","87"
"40511242","91","1","14","23","30","36","41","53","64","68","73","78","82","86","90"
"40511208","91","2","14","19","28","34","38","53","62","66","73","78","81","85","87"
"40511206","92","1","14","17","30","36","48","53","58","69","73","78","81","86","89"
"40511205","91","1","13","19","30","34","48","53","58","68","74","78","81","86","87"
"40511253","91","2","9","19","30","34","41","53","64","69","74","78","82","85","89"
"40532244","91","3","16","17","30","37","38","53","64","68","74","78","81","86","88"
"40511251","91","3","6","23","30","36","44","53","58","69","74","78","81","85","88"
"40511203","91","3","8","23","29","35","39","53","62","67","76","78","84","85","90"
"40511201","92","1","7","21","24","34","44","50","58","68","73","78","81","85","90"
"40511221","92","1","12","23","33","36","44","50","61","67","74","78","83","85","88"
"40511268","91","2","6","22","25","37","45","50","58","69","74","78","81","85","87"
"40511218","92","1","7","23","31","36","48","53","61","66","75","79","83","86","87"
"40511212","91","3","14","18","30","37","39","50","63","69","73","78","82","85","87"
"40511238","91","3","16","19","30","36","46","50","60","69","74","78","83","85","87"
"40511256","91","3","14","19","24","36","49","57","58","69","73","78","82","85","88"
"40511215","91","3","8","23","28","37","38","57","60","71","74","78","81","85","87"
"40511224","91","3","10","23","29","36","48","50","59","67","74","78","83","86","88"
"40511239","91","2","5","18","30","36","48","57","59","68","75","79","82","85","87"
"40511228","91","3","14","19","29","37","38","50","61","68","75","78","82","85","87"
"40511263","92","3","15","23","32","36","38","50","64","69","74","78","81","86","87"
"40511246","91","1","6","19","33","36","45","52","58","66","73","80","82","85","89"
"40511222","91","1","6","17","29","37","45","50","61","66","74","78","81","85","87"
"40511226","91","4","8","20","30","34","38","50","64","72","74","78","81","85","90"
"40511227","92","1","12","22","29","37","43","53","58","70","73","78","83","86","87"
"40511244","91","3","5","20","33","37","41","53","58","66","73","78","81","85","89"
"40511213","91","3","13","19","30","35","40","50","60","69","73","78","82","85","87"
"40511235","91","3","13","20","32","34","39","57","59","70","74","78","81","85","89"
"40511225","91","2","16","19","29","37","42","57","62","66","74","78","81","85","87"
"40511210","91","3","14","20","29","34","48","53","58","66","73","78","81","85","87"
"40511260","92","3","12","22","28","34","40","53","58","67","73","78","83","85","89"
"40511267","92","3","13","23","33","36","48","51","59","70","75","78","81","85","87"
"40511250","92","3","14","17","26","35","38","50","62","68","74","78","81","86","89"
"40511266","91","3","8","18","30","34","38","50","58","68","74","78","83","85","87"
"40511220","91","3","11","18","29","36","39","53","58","66","75","78","82","85","87"
"40511248","91","3","5","19","26","37","48","50","62","66","74","78","81","85","89"
"40311202","92","3","10","23","28","34","38","56","58","66","74","78","81","85","87"
"40311258","91","3","13","18","31","36","38","50","63","66","74","78","81","85","87"
"40311257","92","3","15","22","25","36","48","53","60","67","74","78","81","85","89"
"40311249","91","3","6","23","28","37","47","55","58","69","74","78","81","86","87"
"40311230","91","3","5","23","30","36","44","53","59","67","75","78","81","85","87"
"40311214","91","3","13","18","30","36","48","51","58","69","75","78","82","85","87"
"40311216","91","3","7","22","30","36","48","52","58","69","74","78","81","85","87"
"40311250","91","1","10","18","28","34","48","53","65","67","75","78","83","85","89"
"40311211","91","3","5","20","32","37","38","53","59","69","73","78","81","85","89"
"40311238","91","3","10","18","30","34","48","50","58","67","73","78","82","85","87"
"40311261","92","1","5","22","29","34","41","53","58","70","75","78","81","85","87"
"40311248","92","1","10","17","30","36","41","50","60","70","74","78","83","85","87"
"40311256","92","1","9","23","30","37","48","50","61","70","74","78","81","86","88"
"40311231","91","2","11","18","29","34","48","50","58","66","74","80","82","85","88"
"40311212","91","1","9","20","26","36","39","57","58","68","74","78","81","85","87"
"40311217","91","2","16","20","30","35","48","52","59","68","73","79","81","85","87"
"40311221","91","1","6","19","32","36","39","53","64","70","74","79","81","85","87"
"40311210","91","3","9","18","29","36","48","50","64","69","74","78","82","85","87"
"40311201","92","2","12","17","27","36","49","53","59","66","76","78","83","85","89"
"40311247","92","2","16","17","30","36","41","53","60","72","74","78","81","85","87"
"40311226","91","3","13","17","29","36","48","50","58","72","74","78","81","85","88"
"40311207","92","1","8","17","30","36","41","52","64","67","73","79","81","85","87"
"40311223","91","2","5","18","29","37","39","57","64","69","73","78","81","85","87"
"40311229","92","3","11","19","31","36","41","50","60","70","73","78","81","86","90"
"40311208","92","3","12","19","26","36","38","52","61","72","74","79","83","86","88"
"40311218","91","3","11","18","31","35","43","50","63","67","75","78","81","85","87"
"40311243","92","1","14","17","28","36","48","53","59","68","75","78","83","85","87"
"40311236","91","2","8","19","24","37","46","50","64","68","77","78","82","85","88"
"40320310","91","3","7","19","30","36","48","53","64","67","76","78","83","85","87"
"40311173","91","1","8","18","29","37","48","53","58","66","75","78","83","85","87"
"40311134","91","3","13","23","30","36","48","53","58","69","74","78","83","85","88"
"40311133","91","1","8","19","30","36","48","50","62","66","74","78","81","86","89"
"40311154","91","3","9","19","28","37","46","50","64","71","77","78","81","85","87"
"40311151","91","3","15","20","30","34","40","53","58","68","76","78","82","85","88"
"40311108","91","3","5","18","30","36","38","50","62","67","76","78","81","85","87"
"40311172","91","1","8","20","28","37","38","53","58","72","74","78","81","85","88"
"40311122","91","4","6","18","30","37","45","50","58","72","74","78","82","86","90"
"40311104","92","3","11","22","29","36","39","53","59","69","73","78","83","85","89"
"40311116","91","1","16","17","30","34","48","53","58","68","74","80","83","85","88"
"40311130","92","3","8","17","30","37","48","53","58","70","77","78","81","85","87"
"40311111","91","3","10","18","29","34","39","50","58","69","74","78","81","85","87"
"40311131","91","2","6","18","26","35","48","53","59","69","74","78","81","86","90"
"40311153","91","2","14","20","30","36","48","51","58","68","76","78","81","85","87"
"40311112","91","2","9","23","24","37","44","50","58","71","73","78","83","85","87"
"40311118","92","1","16","22","31","36","38","50","61","69","73","78","81","85","87"
"40311137","91","3","12","18","29","36","38","53","58","67","76","78","81","85","88"
"40311107","92","3","14","19","30","37","48","55","58","72","74","78","81","86","88"
"40311121","91","3","15","18","24","37","48","53","58","66","75","78","82","85","88"
"40311157","91","1","7","18","29","37","39","50","61","71","73","78","83","85","88"
"40311129","91","1","12","20","26","37","43","53","63","67","73","78","81","85","88"
"40311158","91","2","10","20","30","36","48","55","62","68","73","78","83","85","88"
"40312142","92","2","10","21","29","37","43","53","59","72","74","78","81","85","87"
"40311119","92","3","16","19","30","36","47","50","60","66","74","78","83","85","87"
"40311138","91","2","12","17","31","37","38","50","58","69","74","78","81","85","87"
"40311106","91","1","8","18","30","36","48","50","59","68","74","78","81","85","87"
"40311123","91","2","14","18","30","34","47","51","58","67","75","78","82","85","87"
"40311146","91","2","10","18","33","37","45","57","63","68","75","78","81","85","87"
"40311139","91","1","7","18","24","37","40","51","61","67","75","78","83","85","87"
"40320324","91","3","15","22","30","36","41","57","58","66","73","78","81","85","87"
"40311120","91","1","9","18","24","37","38","50","58","67","75","78","81","85","87"
"40311140","91","1","12","19","30","35","38","52","62","66","77","80","84","85","87"
"40311117","91","1","7","21","26","37","48","50","58","66","77","78","81","85","88"
"40311128","91","1","6","18","24","34","41","53","58","66","74","80","83","85","87"
"40311105","91","1","6","23","29","37","41","50","58","66","74","78","82","85","87"
"40311135","92","2","14","23","30","37","38","52","62","68","74","80","82","85","89"
"40320326","91","3","16","23","29","36","43","50","61","72","74","79","82","85","87"
