Student_ID,Split,Interactions
40311219,test,1
40311221,test,1
40311223,test,1
40311224,test,1
40311226,test,1
40311227,test,1
40311229,test,1
40311230,test,1
40311231,test,1
40311232,test,1
40311233,test,1
40311235,test,1
40311236,test,1
40311237,test,1
40311238,test,1
40311240,test,1
40311241,test,1
40311242,test,1
40311243,test,1
40311244,test,1
40311245,test,1
40311246,test,1
40311247,test,1
40311248,test,1
40311249,test,1
40311250,test,2
40311253,test,1
40311254,test,1
40311255,test,1
40311256,test,1
40311257,test,1
40311258,test,1
40311259,test,1
40311260,test,1
40311261,test,1
40311262,test,1
40311263,test,1
40311264,test,0
40311265,test,1
40311266,test,1
40312142,test,1
40320310,test,1
40320324,test,1
40320326,test,1
40327247,test,1
40333126,test,1
40411101,test,1
40411102,test,1
40411104,test,1
40411105,test,1
40411106,test,1
40411108,test,1
40411109,test,1
40411110,test,1
40411111,test,1
40411113,test,1
40411114,test,1
40411115,test,1
40411117,test,1
40411118,test,1
40411119,test,1
40411120,test,1
40411121,test,1
40411122,test,1
40411124,test,1
40411125,test,1
40411126,test,1
40411127,test,1
40411128,test,1
40411129,test,1
40411130,test,1
40411131,test,1
40411132,test,1
40411133,test,1
40411134,test,1
40411137,test,1
40411138,test,1
40411140,test,1
40411141,test,1
40411143,test,1
40411145,test,1
40411146,test,1
40411147,test,1
40411148,test,1
40411149,test,1
40411150,test,1
40411151,test,1
40411152,test,1
40411153,test,1
40411155,test,1
40411156,test,1
40411157,test,1
40411158,test,1
40411159,test,1
40411160,test,1
40411161,test,1
40411163,test,1
40411164,test,1
40411165,test,1
40411166,test,1
40411167,test,1
40411168,test,1
40411169,test,1
40411201,test,1
40411202,test,1
40411205,test,1
40411207,test,1
40411208,test,1
40411209,test,1
40411210,test,1
40411211,test,1
40411212,test,1
40411213,test,1
40411214,test,1
40411215,test,1
40411216,test,1
40411217,test,1
40411218,test,1
40411219,test,1
40411220,test,1
40411221,test,1
40411222,test,1
40411224,test,1
40411225,test,1
40411226,test,1
40411227,test,1
40411228,test,1
40411229,test,1
40411230,test,1
40411231,test,1
40411233,test,1
40411234,test,1
40411235,test,1
40411236,test,1
40411237,test,1
40411238,test,1
40411240,test,1
40411241,test,1
40411242,test,1
40411243,test,1
40411244,test,1
40411246,test,1
40411247,test,1
40411248,test,1
40411250,test,1
40411251,test,1
40411252,test,1
40411253,test,1
40411254,test,0
40411255,test,1
40411256,test,1
40411257,test,1
40411258,test,1
40411259,test,1
40411260,test,0
40411261,test,1
40411263,test,1
40411264,test,1
40411265,test,1
40511101,test,1
40511102,test,1
40511103,test,1
40511104,test,1
40511105,test,1
40511107,test,1
40511108,test,1
40511109,test,1
40511111,test,1
40511112,test,1
40511114,test,1
40511115,test,1
40511117,test,1
40511118,test,1
40511119,test,1
40511120,test,1
40511121,test,1
40511122,test,1
40511123,test,1
40511125,test,1
40511127,test,1
40511128,test,1
40511129,test,1
40511130,test,1
40511131,test,1
40511133,test,1
40511134,test,1
40511135,test,1
40511136,test,1
40511138,test,1
40511139,test,1
40511141,test,1
40511142,test,1
40511143,test,1
40511144,test,1
40511145,test,1
40511146,test,1
40511147,test,1
40511148,test,1
40511149,test,1
40511151,test,1
40511153,test,1
40511155,test,1
40511156,test,1
40511158,test,1
40511159,test,1
40511160,test,1
40511201,test,1
40511202,test,1
40511203,test,1
40511204,test,1
40511205,test,1
40511206,test,1
40511207,test,1
40511208,test,1
40511209,test,1
40511210,test,1
40511211,test,1
40511212,test,1
40511213,test,1
40511215,test,1
40511217,test,1
40511218,test,1
40511219,test,1
40511220,test,1
40511221,test,1
40511222,test,1
40511223,test,1
40511224,test,1
40511225,test,1
40511226,test,1
40511227,test,1
40511228,test,1
40511229,test,1
40511231,test,1
40511233,test,1
40511234,test,1
40511235,test,1
40511237,test,1
40511238,test,1
40511239,test,1
40511242,test,1
40511243,test,1
40511244,test,1
40511246,test,1
40511247,test,1
40511248,test,1
40511250,test,1
40511251,test,1
40511252,test,1
40511253,test,1
40511255,test,1
40511256,test,1
40511258,test,1
40511259,test,1
40511260,test,1
40511262,test,1
